title,singer,description
サヨナラナミダ,スピラ・スピカ,『戦翼のシグルドリーヴァ』ED
Sacred world,RAISE A SUILEN,『アサルトリリィ』OP
檄！帝国華撃団〈新章〉,天宮さくら（佐倉綾音）、東雲初穂（内田真礼）、望月あざみ（山村響）、アナスタシア・パルマ（福原綾香）、クラリス（早見沙織）,『新サクラ大戦 the Animation』OP
I Believe what you said,亜咲花,『ひぐらしのなく頃に業』OP
ふしぎ・プルプル・プルリン・リン!,宍戸留美,『NHKにようこそ!』挿入歌
空想メソロギヰ,妖精帝國,『未来日記』OP
Blood teller,飛蘭,『未来日記』ED
スクランブル,堀江由衣 with UNSCANDAL,『スクールランブル』OP
オンナのコ♡オトコのコ,小倉優子,『スクールランブル』ED
せんちめんたる じぇねれ〜しょん,時東ぁみ,『スクールランブル 第2期』OP
staple stable,戦場ヶ原ひたぎ（斎藤千和）,『化物語』OP
帰り道,八九寺真宵（加藤英美里）,『化物語』OP
ambivalent world,神原駿河（沢城みゆき）,『化物語』OP
恋愛サーキュレーション,千石撫子（花澤香菜）,『化物語』OP
sugar sweet nightmare,羽川翼（堀江由衣）,『化物語』OP
白金ディスコ,阿良々木月火（井口裕香）,『偽物語』OP
"Don't say ""lazy""",秋山澪（日笠陽子）,『けいおん!』ED
ふわふわ時間(タイム),放課後ティータイム,『けいおん!』挿入歌
一件落着ゴ用心,イヤホンズ,『AKIBA'S TRIP』OP
夢想歌,Suara,『うたわれるもの』OP
ソラノネ,ZAQ,『荒野のコトブキ飛行隊』OP
未来への咆哮,JAM Project feat.影山ヒロノブ、遠藤正明、きただにひろし、福山芳樹,『マブラヴ オルタネイティヴ』アバンOPテーマ
空気力学少女と少年の詩,はな,『素晴らしき日々 〜不連続存在〜』OP
非実在青少年,いとうかなこ,『CHAOS;CHILD』OP
うみねこのなく頃に,志方あきこ,『うみねこのなく頃に』OP
アイドル,YOASOBI,『【推しの子】』OP
雑踏、僕らの街,トゲナシトゲアリ,『ガールズバンドクライ』OP
