id,title,singer,description
1,Plastic Love,竹内まりや,
2,真夜中のドア〜Stay With Me,松原みき,
3,Flyday Chinatown,泰葉,
4,ラブ・ストーリーは突然に,小田和正,『東京ラブストーリー』OP
